shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1,10.6962969242963,122.58496254411,1
1,10.6988297771939,122.582030516939,2
1,10.7009875180301,122.57929365753,3
1,10.701868985902,122.574469100702,4
1,10.7018821408357,122.572465764551,5
1,10.7027990660868,122.571503399227,6
1,10.7065375551339,122.570227529696,7
1,10.7036648233838,122.569010414685,8
1,10.7022481433076,122.569509307407,9
1,10.7008941357851,122.568961710855,10
1,10.6981507853299,122.568933643324,11
1,10.6972006945563,122.568976510914,12
1,10.6959140570344,122.569469856002,13
1,10.6941624980686,122.570783155684,14
1,10.6922084521503,122.569482879428,15
2,10.6920307744259,122.568755176607,1
2,10.6932213196005,122.567931292678,2
2,10.6958596758859,122.567876121823,3
2,10.6975708052956,122.56785141046,4
2,10.6987471889774,122.567831891422,5
2,10.7007476551955,122.567780752989,6
2,10.7015109357175,122.568245747516,7
2,10.702628149565,122.569528230179,8
2,10.7037870038102,122.569163643674,9
2,10.7070181418326,122.569402760045,10
2,10.702730764221,122.571395218236,11
2,10.7017689705374,122.572737278798,12
2,10.7017158522598,122.574226611272,13
2,10.7017269023313,122.574907337885,14
2,10.7009499226473,122.579175376429,15
2,10.6987431367112,122.581929223637,16
2,10.6996016031031,122.587638329205,17
2,10.6964319604814,122.585194086974,18
