shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1,10.7739968,122.5699779,1
1,10.77262637,122.5694718,2
1,10.76440099,122.5642566,3
1,10.753872,122.5587683,4
1,10.75574852,122.5541752,5
1,10.74978824,122.5531768,6
1,10.74921675,122.5531755,7
1,10.74720938,122.5549671,8
1,10.74561683,122.5570986,9
1,10.74362641,122.5596486,10
1,10.74239347,122.5613011,11
1,10.74032078,122.5633597,12
1,10.73889077,122.5625485,13
1,10.73693187,122.56149,14
1,10.73450581,122.5605393,15
1,10.73305296,122.5600385,16
1,10.73138238,122.5594793,17
1,10.73051765,122.559163,18
1,10.72913891,122.5572046,19
1,10.72836251,122.5564003,20
1,10.72683416,122.5560328,21
1,10.72533767,122.5567366,22
1,10.72377141,122.5570496,23
1,10.72283975,122.5578137,24
1,10.72157371,122.5587537,25
1,10.71998203,122.5598057,26
1,10.71726005,122.5593974,27
1,10.71512569,122.5573682,28
1,10.71366387,122.5550964,29
1,10.71379876,122.5545536,30
1,10.71396032,122.5539496,31
1,10.71664734,122.55301,32
1,10.71639166,122.5526686,33
1,10.7138263,122.5521848,34
1,10.71185931,122.5516232,35
1,10.70943031,122.5508943,36
1,10.70852196,122.5495,37
1,10.70920384,122.5508124,38
1,10.7087868,122.5516009,39
1,10.70556901,122.5524834,40
1,10.70310255,122.5531357,41
1,10.70031451,122.5539073,42
1,10.69908058,122.5543584,43
1,10.69710297,122.5546655,44
1,10.69617777,122.5547996,45
1,10.69382379,122.5550756,46
1,10.69304398,122.5557344,47
2,10.6938773,122.556196,1
2,10.69624433,122.5549219,2
2,10.69784295,122.5547406,3
2,10.7005791,122.5541382,4
2,10.70310516,122.5534928,5
2,10.70623374,122.5526277,6
2,10.70861172,122.5523147,7
2,10.70951326,122.553075,8
2,10.71318931,122.5525205,9
2,10.71384424,122.5538751,10
2,10.71345508,122.5554057,11
2,10.71506161,122.5574719,12
2,10.71667634,122.5590089,13
2,10.71883852,122.5610217,14
2,10.71968928,122.5618161,15
2,10.72077471,122.5616043,16
2,10.72183406,122.5604214,17
2,10.72156447,122.5597117,18
2,10.72173043,122.5588011,19
2,10.72256239,122.5581776,20
2,10.72319732,122.5560518,21
2,10.72468304,122.5539935,22
2,10.72586523,122.5540009,23
2,10.72622251,122.5562496,24
2,10.72666658,122.5579922,25
2,10.73053038,122.5593355,26
2,10.73138323,122.5596186,27
2,10.73267836,122.5600612,28
2,10.73396387,122.5604896,29
2,10.73670643,122.5615508,30
2,10.73773269,122.5620701,31
2,10.7395428,122.5630801,32
2,10.74098959,122.5632967,33
2,10.74245647,122.5613135,34
2,10.74352606,122.5599253,35
2,10.74454189,122.5586103,36
2,10.74553853,122.5573068,37
2,10.74677185,122.5556826,38
2,10.74898567,122.553288,39
2,10.74991772,122.5532489,40
2,10.75569449,122.5538534,41
2,10.75378273,122.5586378,42
2,10.76408078,122.5641723,43
2,10.77261065,122.5695376,44
