shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1,10.68022,122.51704,1,0
1,10.68021,122.51671,2,0.036
1,10.68018,122.516,3,0.114
1,10.68016,122.51522,4,0.199
1,10.68014,122.51459,5,0.268
1,10.68011,122.51364,6,0.372
1,10.6801,122.51355,7,0.382
1,10.68007,122.51273,8,0.471
1,10.68006,122.51237,9,0.511
1,10.68004,122.51189,10,0.563
1,10.68001,122.51112,11,0.647
1,10.68,122.51091,12,0.67
1,10.67998,122.51054,13,0.711
1,10.67998,122.51035,14,0.732
1,10.67997,122.51016,15,0.752
1,10.67996,122.50962,16,0.811
1,10.67989,122.5086,17,0.923
1,10.67987,122.5082,18,0.967
1,10.67985,122.50799,19,0.99
1,10.67984,122.50747,20,1.047
1,10.67983,122.50724,21,1.072
1,10.67981,122.50672,22,1.129
1,10.67978,122.50601,23,1.206
1,10.67978,122.50566,24,1.245
1,10.67978,122.50563,25,1.248
1,10.67978,122.50507,26,1.309
1,10.67978,122.50499,27,1.318
1,10.67979,122.5049,28,1.328
1,10.6798,122.50482,29,1.337
1,10.6798,122.50474,30,1.345
1,10.67984,122.50428,31,1.396
1,10.67988,122.50374,32,1.455
1,10.6799,122.50353,33,1.478
1,10.67992,122.50337,34,1.496
1,10.67992,122.50334,35,1.499
1,10.67995,122.5032,36,1.515
1,10.67997,122.50307,37,1.529
1,10.68001,122.50284,38,1.554
1,10.68005,122.50265,39,1.576
1,10.68026,122.50152,40,1.701
1,10.68028,122.50137,41,1.718
1,10.68031,122.50117,42,1.74
1,10.68034,122.50098,43,1.761
1,10.68038,122.50076,44,1.785
1,10.68043,122.50052,45,1.812
1,10.68061,122.49972,46,1.902
1,10.68062,122.49968,47,1.906
1,10.68102,122.49981,48,1.953
1,10.68242,122.50008,49,2.112
1,10.68298,122.50019,50,2.175
1,10.6834,122.50027,51,2.223
1,10.68375,122.50033,52,2.262
1,10.68394,122.50037,53,2.284
1,10.6841,122.50039,54,2.302
1,10.68537,122.50064,55,2.445
